n_features,method,均值,标准差,method,均值,标准差,method,均值,标准差,method,均值,标准差,method,均值,标准差,method,均值,标准差,method,均值,标准差,method,均值,标准差,method,均值,标准差
1,REVS-BART,0.218615839,0,REVS-RF,0.218615839,0,BART,0.501595376,0.065405169,TVS-RF,0.088932905,0.118422663,TVS-BART,0.158870376,0.156794908,DART,0.485845576,0.054349963,Lasso,0.576947504,0.009026976,SSLASSO,0.580984491,0,SIS,0.129711805,0.059949711
2,REVS-BART,0.412579021,0.10876743,REVS-RF,0.530661678,0.004975161,BART,0.542261632,0.040997493,TVS-RF,0.520286553,0.073677077,TVS-BART,0.186056077,0.165897231,DART,0.582160333,0.019611289,Lasso,0.584614521,0,SSLASSO,0.598710815,0.031520271,SIS,0.560578966,0
3,REVS-BART,0.534148486,0.028951289,REVS-RF,0.53747431,0.000285689,BART,0.539778796,0.081471339,TVS-RF,0.601326343,0.001817704,TVS-BART,0.268625419,0.105542737,DART,0.550178927,0.039258315,Lasso,0.584073238,0,SSLASSO,0.584073238,0,SIS,0.562771856,0.011441873
4,REVS-BART,0.637345624,0.061309713,REVS-RF,0.59825984,1.05E-05,BART,0.592441182,0.014618886,TVS-RF,0.585290572,0.034107673,TVS-BART,0.40664711,0.056391799,DART,0.602877094,0.020460594,Lasso,0.599675071,0,SSLASSO,0.599675071,0,SIS,0.567671567,0
5,REVS-BART,0.639187071,0.066895605,REVS-RF,0.605206899,0.000318354,BART,0.606416519,0.011015108,TVS-RF,0.605489362,0.006908553,TVS-BART,0.464120566,0.130985238,DART,0.611229278,0.012786991,Lasso,0.602385632,0.007393295,SSLASSO,0.602385632,0.007393295,SIS,0.562331989,0.011453384
6,REVS-BART,0.619293803,0.008791304,REVS-RF,0.650218154,0.004412155,BART,0.607109419,0.013244104,TVS-RF,0.613394406,0.004315371,TVS-BART,0.533052776,0.07264891,DART,0.61275017,0.021675812,Lasso,0.595569432,0.009059457,SSLASSO,0.60549357,0,SIS,0.567468471,0.014453661
7,REVS-BART,0.615796777,0.019385841,REVS-RF,0.620354688,8.00E-05,BART,0.609303427,0.018842634,TVS-RF,0.619541396,0.005964315,TVS-BART,0.531158088,0.046921255,DART,0.62171276,0.010388501,Lasso,0.601985215,0.00740074,SSLASSO,0.601985215,0.00740074,SIS,0.574824508,0
8,REVS-BART,0.620496904,0.007150836,REVS-RF,0.617863433,5.00E-05,BART,0.628934477,0.008130664,TVS-RF,0.618706922,0.010222979,TVS-BART,0.558858894,0.05921983,DART,0.617847711,0.017453626,Lasso,0.595161945,0.009068585,SSLASSO,0.601784703,0.007404469,SIS,0.590232826,0
9,REVS-BART,0.627519067,0.013858386,REVS-RF,0.624692895,0.000103935,BART,0.618576222,0.010658629,TVS-RF,0.617103048,0.008488804,TVS-BART,0.577412975,0.024124658,DART,0.624082116,0.016127632,Lasso,0.604897038,0,SSLASSO,0.60158399,0.007408201,SIS,0.597006627,0
10,REVS-BART,0.630038888,0.006641893,REVS-RF,0.6240625,0.000102489,BART,0.613715947,0.019441367,TVS-RF,0.623507872,0.021982941,TVS-BART,0.619986841,0.018690094,DART,0.627232097,0.023364998,Lasso,0.625433395,0,SSLASSO,0.610509717,0.020435088,SIS,0.596803403,0
11,REVS-BART,0.639272413,0.006102303,REVS-RF,0.61327838,0.000143562,BART,0.625874578,0.01418042,TVS-RF,0.626468984,0.006137333,TVS-BART,0.598571398,0.058404733,DART,0.618923992,0.013058833,Lasso,0.610313203,0.020445398,SSLASSO,0.625244411,0,SIS,0.585371299,0.02510808
