n_features,method,均值,标准差,method,均值,标准差,method,均值,标准差,method,均值,标准差
1,TVS-RF,0.582894737,2.16E-06,REVS-RF,0.563377193,0.025824638,Logistic,0.556359649,0.000525162,RandomForest,0.723245614,0.029428076
2,TVS-RF,0.616008772,0.00654372,REVS-RF,0.745833333,0.016122523,Logistic,0.580263158,0.002303233,RandomForest,0.777631579,0.011352789
3,TVS-RF,0.652850877,0.006971256,REVS-RF,0.787938596,0.018259131,Logistic,0.626973684,0.002425265,RandomForest,0.806359649,0.000980731
4,TVS-RF,0.65372807,0.005639596,REVS-RF,0.790789474,0.009252203,Logistic,0.661403509,0.006844293,RandomForest,0.806798246,0.00427491
5,TVS-RF,0.618201754,0.000128886,REVS-RF,0.802192982,0.015576352,Logistic,0.637938596,0.002321868,RandomForest,0.812061403,0.005460482
6,TVS-RF,0.624780702,0.000509412,REVS-RF,0.803947368,0.008220028,Logistic,0.678947368,0.005616752,RandomForest,0.803947368,0.016672437
7,TVS-RF,0.666666667,0.000218216,REVS-RF,0.793201754,0.011722717,Logistic,0.627192982,0.001339354,RandomForest,0.803508772,0.016307888
8,TVS-RF,0.696052632,0.002519044,REVS-RF,0.806140351,0.010810314,Logistic,0.728070175,0.003404293,RandomForest,0.814692982,0.002795515
9,TVS-RF,0.667105263,0.000413348,REVS-RF,0.808991228,0.00533801,Logistic,0.674780702,0.000429579,RandomForest,0.812061404,0.004940299
10,TVS-RF,0.684649123,0.003241743,REVS-RF,0.812719298,0.008955052,Logistic,0.712938596,0.002143328,RandomForest,0.808114035,0.009590381
11,TVS-RF,0.678289474,0.001889764,REVS-RF,0.814692983,0.006759226,Logistic,0.755921053,0.001318074,RandomForest,0.807236842,0.014881612
12,TVS-RF,0.683114035,0.00200302,REVS-RF,0.813157895,0.006183277,Logistic,0.712719298,0.006203231,RandomForest,0.797587719,0.014723228
13,TVS-RF,0.684429825,0.000308629,REVS-RF,0.812061403,0.004940298,Logistic,0.720833333,0.004771059,RandomForest,0.801973684,0.025581401
14,TVS-RF,0.675657895,0.000208237,REVS-RF,0.815131579,0.004073284,Logistic,0.746052632,0.001437101,RandomForest,0.81381579,0.01348283
15,TVS-RF,0.66995614,0.000459276,REVS-RF,0.813377193,0.006025716,Logistic,0.744517544,0.001464994,RandomForest,0.808333333,0.019280794
16,TVS-RF,0.690350877,0.000607519,REVS-RF,0.815131579,0.006374756,Logistic,0.755482456,0.000651042,RandomForest,0.802850877,0.019466966
17,TVS-RF,0.679166667,0.002302151,REVS-RF,0.809429825,0.021478357,Logistic,0.776315789,0.001746932,RandomForest,0.803289474,0.019791591
18,TVS-RF,0.687280702,0.001088316,REVS-RF,0.803289473,0.015806217,Logistic,0.743201754,0.002635066,RandomForest,0.800438597,0.017284959
19,TVS-RF,0.716447368,0.001921024,REVS-RF,0.821052632,0.004804584,Logistic,0.756798246,0.002274378,RandomForest,0.794517544,0.017758419
20,TVS-RF,0.729824561,0.002489708,REVS-RF,0.811842105,0.003603438,Logistic,0.755263158,0.000237693,RandomForest,0.814473684,0.006317922
21,TVS-RF,0.695614035,0.001852493,REVS-RF,0.81622807,0.005460483,Logistic,0.770833333,0.001373019,RandomForest,0.808114035,0.018543349
22,TVS-RF,0.744736842,0.001693069,REVS-RF,0.815350877,0.000980732,Logistic,0.765570175,0.000125279,RandomForest,0.806359649,0.022006445
23,TVS-RF,0.744517544,0.001883392,REVS-RF,0.799561404,0.022221201,Logistic,0.776973684,0.000486087,RandomForest,0.817982456,0.013804472
24,TVS-RF,0.760745614,0.002111467,REVS-RF,0.806359649,0.017639542,Logistic,0.774780702,2.56E-05,RandomForest,0.805921053,0.017371688
25,TVS-RF,0.757017544,0.003120912,REVS-RF,0.81754386,0.003922926,Logistic,0.785526316,0.000349026,RandomForest,0.819517544,0.011799387
26,TVS-RF,0.764473684,0.001660607,REVS-RF,0.811842105,0.022372183,Logistic,0.773464912,0.000588883,RandomForest,0.796929824,0.020000072
27,TVS-RF,0.772587719,0.001289219,REVS-RF,0.815350877,0.003922927,Logistic,0.776096491,0.001189909,RandomForest,0.81754386,0.006830005
28,TVS-RF,0.788596491,0.00036694,REVS-RF,0.81622807,0.005460483,Logistic,0.784649123,0.000830544,RandomForest,0.814035088,0.0028593
29,TVS-RF,0.750219298,0.002758902,REVS-RF,0.809868421,0.020419482,Logistic,0.773245614,0.000806979,RandomForest,0.790131579,0.020551534
30,TVS-RF,0.792324561,7.79E-05,REVS-RF,0.810526316,0.002942195,Logistic,0.788815789,0.000731355,RandomForest,0.80504386,0.016993846
