n_features,method,adjusted_r_squared,,,,
1,REVS-BART,0.218615839,0.218615839,0.218615839,0.218615839,0.218615839
2,REVS-BART,0.243320837,0.424264507,0.46514455,0.397859636,0.514591968
3,REVS-BART,0.524093731,0.55749992,0.514348044,0.510331635,0.510331635
4,REVS-BART,0.607102154,0.613594528,0.598240086,0.614427326,0.613594528
5,REVS-BART,0.730286624,0.60381466,0.617886391,0.596161541,0.60616705
6,REVS-BART,0.633971508,0.616583628,0.615714534,0.615675444,0.606387033
7,REVS-BART,0.620014872,0.622596491,0.620720402,0.622941539,0.620720402
8,REVS-BART,0.611239126,0.638415251,0.616930336,0.770688895,0.619821108
9,REVS-BART,0.598349159,0.63051851,0.641505349,0.639605603,0.598547278
10,REVS-BART,0.630173816,0.631301703,0.624895493,0.631301703,0.625025771
11,REVS-BART,0.626334281,0.637959946,0.630197697,0.630145672,0.654487969
12,REVS-BART,0.644650628,0.622105336,0.594424077,0.644650628,0.603385684
13,REVS-BART,0.644921466,0.644471159,0.617563839,0.638128446,0.643597055
14,REVS-BART,0.627656786,0.659932776,0.791281629,0.62495735,0.631329814
15,REVS-BART,0.641694657,0.637043408,0.63481438,0.582156885,0.64536471
16,REVS-BART,0.632237217,0.644912582,0.624860479,0.647915591,0.640545289
17,REVS-BART,0.652889834,0.63359016,0.646825776,0.642908434,0.646825776
18,REVS-BART,0.661076145,0.644950099,0.652254759,0.641407486,0.640440159
19,REVS-BART,0.59515843,0.633218924,0.639871068,0.595128385,0.595876524
20,REVS-BART,0.651902255,0.64412269,0.646288765,0.646288765,0.594923179
21,REVS-BART,0.639070437,0.654366213,0.637890753,0.647484637,0.654065805
22,REVS-BART,0.644383164,0.647688713,0.649367641,0.645929849,0.605908236
23,REVS-BART,0.594306311,0.653714603,0.649189655,0.653714603,0.650694525
24,REVS-BART,0.646429491,0.653538734,0.650517123,0.653538734,0.649168794
25,REVS-BART,0.637308605,0.635725868,0.59464444,0.580033699,0.654252818
26,REVS-BART,0.643659998,0.594438362,0.657886637,0.605106829,0.635742984
27,REVS-BART,0.637198095,0.637620666,0.593480891,0.593511058,0.594232075
28,REVS-BART,0.594025577,0.635372239,0.643094796,0.593274012,0.594025577
29,REVS-BART,0.652692002,0.645529362,0.650307102,0.593818869,0.649627401
30,REVS-BART,0.642933885,0.592859619,0.645348786,0.578963993,0.657189513
1,REVS-RF,0.218615839,0.218615839,0.218615839,0.218615839,0.218615839
2,REVS-RF,0.472851021,0.607412947,0.607412947,0.472851021,0.492780454
3,REVS-RF,0.525141153,0.550801091,0.560416101,0.525141153,0.525872056
