n_features,method,adjusted_r_squared  run1,run 2,run 3, run  4,run5,均值,标准差
1,REVS-RF,0.015213765,0.015213765,0.015213765,0.015213765,0.015213765,0.015213765,0
2,REVS-RF,0.8345928,0.836003752,0.835950939,0.833344783,0.833344783,0.834647411,0.001316768
3,REVS-RF,0.870872909,0.840328112,0.840328112,0.839993293,0.839318035,0.846168092,0.013816567
4,REVS-RF,0.840313882,0.842032788,0.842477444,0.844030851,0.846005423,0.842972078,0.00215146
5,REVS-RF,0.853592948,0.853592948,0.873422892,0.877238494,0.877329314,0.867035319,0.012372014
6,REVS-RF,0.875368925,0.879373307,0.894285582,0.875359498,0.890296044,0.882936671,0.008808235
7,REVS-RF,0.879261417,0.882347078,0.853310308,0.853310308,0.886484899,0.870942802,0.016298952
8,REVS-RF,0.853168579,0.891401695,0.879310557,0.853168579,0.853168579,0.866043598,0.018140725
9,REVS-RF,0.886612254,0.853026576,0.826590088,0.879466137,0.882402644,0.86561954,0.025475359
10,REVS-RF,0.880389305,0.885619221,0.879701605,0.88575821,0.885780431,0.883449755,0.003117795
11,REVS-RF,0.852741744,0.852741744,0.852741744,0.826254023,0.859632167,0.848822284,0.012964051
12,REVS-RF,0.891247789,0.889210957,0.826085501,0.886817149,0.852598913,0.869192062,0.028858981
13,REVS-RF,0.898781483,0.889853436,0.852455805,0.897686558,0.891608963,0.886077249,0.019179641
14,REVS-RF,0.891655413,0.892955367,0.896329001,0.859222931,0.891036415,0.886239825,0.015240886
15,REVS-RF,0.89858456,0.89858456,0.825577968,0.859085988,0.892851238,0.874936863,0.032120487
16,REVS-RF,0.896658923,0.89753977,0.825408132,0.858948779,0.825408132,0.860792747,0.035861778
17,REVS-RF,0.892642371,0.858811302,0.858811302,0.898386869,0.858811302,0.873492629,0.020205568
18,REVS-RF,0.858673557,0.825067465,0.858673557,0.813816623,0.892277024,0.849701645,0.031097552
19,REVS-RF,0.896975135,0.896356166,0.824896632,0.892595692,0.824896632,0.867144051,0.038602837
20,REVS-RF,0.893026515,0.824725466,0.858397259,0.824725466,0.858397259,0.851854393,0.028516308
21,REVS-RF,0.824553964,0.898766667,0.897551021,0.824553964,0.858258705,0.860736864,0.036831012
22,REVS-RF,0.898196644,0.858119879,0.824382127,0.824382127,0.898196644,0.860655484,0.036934467
23,REVS-RF,0.824209952,0.85798078,0.824209952,0.824209952,0.824209952,0.830964118,0.015102773
24,REVS-RF,0.82403744,0.82403744,0.857841409,0.82403744,0.896023622,0.84519547,0.031962507
25,REVS-RF,0.823864589,0.823864589,0.857701764,0.812536384,0.857701764,0.835133818,0.021114328
26,REVS-RF,0.898268961,0.857561845,0.898268961,0.823691398,0.823691398,0.860296513,0.037320105
27,REVS-RF,0.898168832,0.823517866,0.823517866,0.823517866,0.823517866,0.838448059,0.033384927
28,REVS-RF,0.857281178,0.898068506,0.823343992,0.811982304,0.823343992,0.842803994,0.035253068
29,REVS-RF,0.823169775,0.823169775,0.811796883,0.85714043,0.823169775,0.827689327,0.017184414
30,REVS-RF,0.822995214,0.897867259,0.811611095,0.822995214,0.900472262,0.851188209,0.044056468
1,TVS-RF,0.045809449,0,0.004304479,0.012905846,0.012905846,0.015185124,0.018008442
2,TVS-RF,0.835950939,0.8345928,0.839410749,0.840349049,0.8345928,0.836979267,0.002725594
3,TVS-RF,0.8357932,0.837990077,0.84218468,0.842772153,0.83674086,0.839096194,0.003191092
4,TVS-RF,0.841594876,0.845239858,0.817451405,0.870895776,0.840174434,0.84307127,0.019012199
5,TVS-RF,0.878755143,0.881695404,0.851956508,0.873313142,0.883404392,0.873824918,0.012811199
6,TVS-RF,0.884475087,0.89118996,0.886419594,0.877162368,0.817099335,0.871269269,0.030699635
7,TVS-RF,0.853310308,0.853310308,0.853310308,0.885361867,0.853310308,0.85972062,0.014333893
8,TVS-RF,0.853168579,0.853168579,0.889770135,0.853168579,0.886001145,0.867055404,0.019061951
9,TVS-RF,0.897566897,0.881362599,0.884114025,0.883488885,0.859903671,0.881287215,0.013556621
10,TVS-RF,0.892074947,0.852884298,0.892074947,0.852884298,0.891164421,0.876216582,0.021302607
11,TVS-RF,0.826254023,0.892010548,0.859632167,0.826254023,0.889974534,0.858825059,0.032380406
12,TVS-RF,0.886604845,0.891288008,0.887886635,0.887292794,0.886289572,0.887872371,0.002007147
13,TVS-RF,0.889578046,0.889685395,0.895302189,0.887924197,0.825916652,0.877681296,0.02907156
14,TVS-RF,0.859222931,0.892122625,0.893175603,0.825747475,0.893117579,0.872677243,0.029998061
15,TVS-RF,0.81435996,0.893888247,0.901781725,0.89858456,0.825577968,0.866838492,0.043060884
16,TVS-RF,0.898953932,0.85202481,0.825408132,0.858948779,0.891821108,0.865431352,0.030181948
17,TVS-RF,0.898768884,0.891166874,0.893339303,0.897676169,0.858811302,0.887952506,0.016583902
18,TVS-RF,0.897288898,0.825067465,0.896955299,0.825067465,0.899956343,0.868867094,0.040000321
19,TVS-RF,0.824896632,0.824896632,0.893130981,0.824896632,0.896356166,0.852835409,0.038273735
20,TVS-RF,0.824725466,0.894532485,0.899205989,0.899564599,0.858397259,0.87528516,0.033066753
21,TVS-RF,0.899466326,0.824553964,0.824553964,0.824553964,0.824553964,0.839536437,0.033501827
22,TVS-RF,0.824382127,0.813087208,0.824382127,0.824382127,0.824382127,0.822123143,0.005051241
23,TVS-RF,0.897981058,0.824209952,0.89839957,0.899199088,0.824209952,0.868799924,0.040707241
24,TVS-RF,0.82403744,0.812720352,0.82403744,0.82403744,0.899045025,0.836775539,0.035152946
25,TVS-RF,0.857701764,0.900488842,0.812536384,0.900961102,0.823864589,0.859110536,0.041463982
26,TVS-RF,0.898268961,0.898268961,0.823691398,0.857561845,0.823691398,0.860296513,0.037320105
27,TVS-RF,0.823517866,0.898168832,0.823517866,0.823517866,0.812167361,0.836177958,0.035000754
28,TVS-RF,0.823343992,0.823343992,0.823343992,0.823343992,0.823343992,0.823343992,0
29,TVS-RF,0.823169775,0.823169775,0.85714043,0.823169775,0.85714043,0.836758037,0.018606494
