run_id,n_features,method,accuracy,baseline_accuracy
1,1,REVS-RF,0.535087719,0.815789474
1,2,REVS-RF,0.755482456,0.815789474
1,3,REVS-RF,0.770833333,0.815789474
1,4,REVS-RF,0.797149123,0.815789474
1,5,REVS-RF,0.791666667,0.815789474
1,6,REVS-RF,0.805921053,0.815789474
1,7,REVS-RF,0.80372807,0.815789474
1,8,REVS-RF,0.80372807,0.815789474
1,9,REVS-RF,0.820175439,0.815789474
1,10,REVS-RF,0.80372807,0.815789474
1,11,REVS-RF,0.815789474,0.815789474
1,12,REVS-RF,0.815789474,0.815789474
1,13,REVS-RF,0.8125,0.815789474
1,14,REVS-RF,0.80372807,0.815789474
1,15,REVS-RF,0.809210526,0.815789474
1,16,REVS-RF,0.820175439,0.815789474
1,17,REVS-RF,0.824561404,0.815789474
1,18,REVS-RF,0.815789474,0.815789474
1,19,REVS-RF,0.820175439,0.815789474
1,20,REVS-RF,0.815789474,0.815789474
1,21,REVS-RF,0.815789474,0.815789474
1,22,REVS-RF,0.813596491,0.815789474
1,23,REVS-RF,0.815789474,0.815789474
1,24,REVS-RF,0.815789474,0.815789474
1,25,REVS-RF,0.824561404,0.815789474
1,26,REVS-RF,0.824561404,0.815789474
1,27,REVS-RF,0.815789474,0.815789474
1,28,REVS-RF,0.815789474,0.815789474
1,29,REVS-RF,0.824561404,0.815789474
1,30,REVS-RF,0.815789474,0.815789474
2,1,REVS-RF,0.582236842,0.815789474
2,2,REVS-RF,0.736842105,0.815789474
2,3,REVS-RF,0.76754386,0.815789474
2,4,REVS-RF,0.8125,0.815789474
2,5,REVS-RF,0.80372807,0.815789474
2,6,REVS-RF,0.816885965,0.815789474
2,7,REVS-RF,0.807017544,0.815789474
2,8,REVS-RF,0.820175439,0.815789474
2,9,REVS-RF,0.8125,0.815789474
2,10,REVS-RF,0.80372807,0.815789474
2,11,REVS-RF,0.775219298,0.815789474
2,12,REVS-RF,0.80372807,0.815789474
2,13,REVS-RF,0.8125,0.815789474
2,14,REVS-RF,0.815789474,0.815789474
2,15,REVS-RF,0.813596491,0.815789474
2,16,REVS-RF,0.826754386,0.815789474
2,17,REVS-RF,0.813596491,0.815789474
2,18,REVS-RF,0.8125,0.815789474
2,19,REVS-RF,0.809210526,0.815789474
2,20,REVS-RF,0.791666667,0.815789474
2,21,REVS-RF,0.775219298,0.815789474
2,22,REVS-RF,0.809210526,0.815789474
2,23,REVS-RF,0.775219298,0.815789474
2,24,REVS-RF,0.815789474,0.815789474
2,25,REVS-RF,0.815789474,0.815789474
2,26,REVS-RF,0.842105263,0.815789474
2,27,REVS-RF,0.824561404,0.815789474
2,28,REVS-RF,0.809210526,0.815789474
2,29,REVS-RF,0.815789474,0.815789474
2,30,REVS-RF,0.815789474,0.815789474
3,1,REVS-RF,0.582236842,0.775219298
3,2,REVS-RF,0.734649123,0.775219298
3,3,REVS-RF,0.79495614,0.775219298
3,4,REVS-RF,0.80372807,0.775219298
3,5,REVS-RF,0.80372807,0.775219298
3,6,REVS-RF,0.805921053,0.775219298
3,7,REVS-RF,0.8125,0.775219298
3,8,REVS-RF,0.805921053,0.775219298
3,9,REVS-RF,0.809210526,0.775219298
3,10,REVS-RF,0.80372807,0.775219298
3,11,REVS-RF,0.80372807,0.775219298
3,12,REVS-RF,0.815789474,0.775219298
3,13,REVS-RF,0.815789474,0.775219298
3,14,REVS-RF,0.820175439,0.775219298
3,15,REVS-RF,0.809210526,0.775219298
3,16,REVS-RF,0.791666667,0.775219298
3,17,REVS-RF,0.791666667,0.775219298
3,18,REVS-RF,0.775219298,0.775219298
3,19,REVS-RF,0.809210526,0.775219298
3,20,REVS-RF,0.824561404,0.775219298
3,21,REVS-RF,0.775219298,0.775219298
3,22,REVS-RF,0.824561404,0.775219298
3,23,REVS-RF,0.824561404,0.775219298
3,24,REVS-RF,0.815789474,0.775219298
3,25,REVS-RF,0.824561404,0.775219298
3,26,REVS-RF,0.815789474,0.775219298
3,27,REVS-RF,0.815789474,0.775219298
3,28,REVS-RF,0.824561404,0.775219298
3,29,REVS-RF,0.824561404,0.775219298
3,30,REVS-RF,0.820175439,0.775219298
4,1,REVS-RF,0.585526316,0.815789474
4,2,REVS-RF,0.776315789,0.815789474
4,3,REVS-RF,0.763157895,0.815789474
4,4,REVS-RF,0.790570175,0.815789474
4,5,REVS-RF,0.79495614,0.815789474
4,6,REVS-RF,0.805921053,0.815789474
4,7,REVS-RF,0.791666667,0.815789474
4,8,REVS-RF,0.80372807,0.815789474
4,9,REVS-RF,0.820175439,0.815789474
4,10,REVS-RF,0.80372807,0.815789474
4,11,REVS-RF,0.80372807,0.815789474
4,12,REVS-RF,0.824561404,0.815789474
4,13,REVS-RF,0.80372807,0.815789474
4,14,REVS-RF,0.815789474,0.815789474
4,15,REVS-RF,0.775219298,0.815789474
4,16,REVS-RF,0.775219298,0.815789474
4,17,REVS-RF,0.813596491,0.815789474
4,18,REVS-RF,0.815789474,0.815789474
4,19,REVS-RF,0.813596491,0.815789474
4,20,REVS-RF,0.809210526,0.815789474
4,21,REVS-RF,0.815789474,0.815789474
4,22,REVS-RF,0.815789474,0.815789474
4,23,REVS-RF,0.809210526,0.815789474
