method,n_features,accuracy_mean,accuracy_var
REVS-RF,1,0.573464912,0.000462282
REVS-RF,2,0.754605263,0.000353715
REVS-RF,3,0.77872807,0.000258132
REVS-RF,4,0.799780702,7.31E-05
REVS-RF,5,0.799561404,3.39E-05
REVS-RF,6,0.808114035,2.40E-05
REVS-RF,7,0.804166667,5.93E-05
REVS-RF,8,0.808333333,4.71E-05
REVS-RF,9,0.813157895,5.09E-05
REVS-RF,10,0.806140351,2.91E-05
REVS-RF,11,0.803070175,0.000282298
REVS-RF,12,0.813815789,6.16E-05
REVS-RF,13,0.812061404,2.44E-05
REVS-RF,14,0.809429825,0.0001361
REVS-RF,15,0.796491228,0.000380285
REVS-RF,16,0.797807018,0.000599103
REVS-RF,17,0.812061404,0.000150046
REVS-RF,18,0.80877193,0.000371869
REVS-RF,19,0.813596491,2.16E-05
REVS-RF,20,0.810087719,0.000145718
REVS-RF,21,0.799561404,0.000493782
REVS-RF,22,0.807675439,0.000360447
REVS-RF,23,0.807675439,0.000360447
REVS-RF,24,0.815789474,0
REVS-RF,25,0.819298246,2.31E-05
REVS-RF,26,0.814692982,0.000602349
REVS-RF,27,0.81754386,1.54E-05
REVS-RF,28,0.819736842,4.91E-05
REVS-RF,29,0.819298246,2.31E-05
REVS-RF,30,0.816666667,3.85E-06
