method,n_features,r2_mean,r2_var,adj_r2_mean,adj_r2_var
REVS-BART,1,0.016157951,0,0.015213765,0
REVS-BART,2,0.150261057,0.002530318,0.148628513,0.00254005
REVS-BART,3,0.163419081,0.004306532,0.161005867,0.004331414
REVS-BART,4,0.765050376,0.008554292,0.764145854,0.008620285
REVS-BART,5,0.863080853,0.00018394,0.862421319,0.000185716
REVS-BART,6,0.872707438,0.000116147,0.871970933,0.000117495
REVS-BART,7,0.881282445,1.60E-05,0.880480299,1.62E-05
REVS-BART,8,0.871855272,0.000178093,0.870864781,0.000180857
REVS-BART,9,0.867940013,0.000349466,0.866790555,0.000355576
REVS-BART,10,0.854759326,0.000717725,0.853353318,0.000731688
REVS-BART,11,0.86082628,0.000213301,0.859342839,0.000217872
REVS-BART,12,0.862137183,0.000307515,0.860532572,0.000314715
REVS-BART,13,0.870754742,0.000511087,0.869123491,0.000524069
REVS-BART,14,0.871304229,0.000417404,0.869553267,0.000428839
REVS-BART,15,0.846901074,0.000761879,0.84466714,0.000784275
REVS-BART,16,0.858065473,0.000531218,0.855854225,0.000547899
REVS-BART,17,0.850848738,0.000638116,0.84837742,0.000659437
REVS-BART,18,0.847779618,0.000992231,0.845106479,0.001027386
REVS-BART,19,0.861087641,0.001219775,0.858510166,0.00126546
REVS-BART,20,0.855134728,0.001384795,0.852302562,0.001439471
REVS-BART,21,0.846538557,0.000291481,0.84338524,0.000303583
REVS-BART,22,0.859685727,0.000683983,0.856662305,0.000713777
REVS-BART,23,0.842167256,0.000991348,0.838608283,0.00103656
REVS-BART,24,0.847902108,0.000327217,0.844319822,0.000342813
REVS-BART,25,0.835510663,0.000436627,0.83147114,0.000458336
REVS-BART,26,0.834691659,0.000218145,0.830465487,0.000229441
REVS-BART,27,0.842601351,0.00142301,0.838418513,0.001499647
REVS-BART,28,0.832480324,0.000279111,0.827859091,0.000294722
REVS-BART,29,0.847024021,0.001176948,0.842648969,0.001245231
REVS-BART,30,0.839085548,0.000424699,0.834320066,0.000450227
REVS-RF,1,0.016157951,0,0.015213765,0
REVS-RF,2,0.771045945,0.007445544,0.770606072,0.00747418
REVS-RF,3,0.820814754,0.001994529,0.820297874,0.002006052
REVS-RF,4,0.839040521,0.000484854,0.838420851,0.000488594
REVS-RF,5,0.873174256,0.000134862,0.872563342,0.000136165
REVS-RF,6,0.876177102,0.000184625,0.875460672,0.000186767
REVS-RF,7,0.870132661,0.000215008,0.869255179,0.000217923
REVS-RF,8,0.860195302,0.000868274,0.859114686,0.000881749
REVS-RF,9,0.861789612,0.000609568,0.86058662,0.000620225
REVS-RF,10,0.878338269,0.000204938,0.877160517,0.000208925
REVS-RF,11,0.862865394,0.000682832,0.861403688,0.000697466
REVS-RF,12,0.866417617,0.001075901,0.864862827,0.001101092
REVS-RF,13,0.87355672,0.000964424,0.871960834,0.000988922
REVS-RF,14,0.868519669,0.000954646,0.866730821,0.0009808
REVS-RF,15,0.85041668,0.00016454,0.848234044,0.000169377
REVS-RF,16,0.890861253,0.000282183,0.889160942,0.000291044
REVS-RF,17,0.862272017,0.001192064,0.859989974,0.001231895
REVS-RF,18,0.878054755,0.00106923,0.875913278,0.001107113
REVS-RF,19,0.841296883,0.000327217,0.838352197,0.000339473
REVS-RF,20,0.85553269,0.001414743,0.852708305,0.001470601
REVS-RF,21,0.852346703,0.000939338,0.849312731,0.000978338
REVS-RF,22,0.857277968,0.001597774,0.854202664,0.001667372
REVS-RF,23,0.847161136,0.001195477,0.843714769,0.001249999
REVS-RF,24,0.856346596,0.000962653,0.852963199,0.001008533
REVS-RF,25,0.847024021,0.001176948,0.843267244,0.001235465
REVS-RF,26,0.856532774,0.000984697,0.852864979,0.001035689
REVS-RF,27,0.834691659,0.000218145,0.830298622,0.000229893
REVS-RF,28,0.842630132,0.001057596,0.838288894,0.001116751
REVS-RF,29,0.849235356,0.00103558,0.844923547,0.001095661
REVS-RF,30,0.842630132,0.001057596,0.837969623,0.001121165
