run_id,n_features,method,accuracy,baseline_accuracy
1,1,REVS-RF,0.361256545,0.502617801
1,2,REVS-RF,0.458115183,0.502617801
1,3,REVS-RF,0.513089005,0.502617801
1,4,REVS-RF,0.502617801,0.502617801
1,5,REVS-RF,0.513089005,0.502617801
1,6,REVS-RF,0.502617801,0.502617801
1,7,REVS-RF,0.502617801,0.502617801
1,8,REVS-RF,0.528795812,0.502617801
1,9,REVS-RF,0.502617801,0.502617801
1,10,REVS-RF,0.502617801,0.502617801
1,11,REVS-RF,0.528795812,0.502617801
1,12,REVS-RF,0.502617801,0.502617801
1,13,REVS-RF,0.562827225,0.502617801
1,14,REVS-RF,0.528795812,0.502617801
1,15,REVS-RF,0.528795812,0.502617801
1,16,REVS-RF,0.528795812,0.502617801
1,17,REVS-RF,0.502617801,0.502617801
1,18,REVS-RF,0.528795812,0.502617801
1,19,REVS-RF,0.502617801,0.502617801
1,20,REVS-RF,0.502617801,0.502617801
1,21,REVS-RF,0.502617801,0.502617801
1,22,REVS-RF,0.539267016,0.502617801
1,23,REVS-RF,0.528795812,0.502617801
1,24,REVS-RF,0.502617801,0.502617801
1,25,REVS-RF,0.502617801,0.502617801
1,26,REVS-RF,0.502617801,0.502617801
1,27,REVS-RF,0.502617801,0.502617801
1,28,REVS-RF,0.502617801,0.502617801
1,29,REVS-RF,0.502617801,0.502617801
1,30,REVS-RF,0.484293194,0.502617801
2,1,REVS-RF,0.361256545,0.502617801
2,2,REVS-RF,0.458115183,0.502617801
2,3,REVS-RF,0.557591623,0.502617801
2,4,REVS-RF,0.513089005,0.502617801
2,5,REVS-RF,0.502617801,0.502617801
2,6,REVS-RF,0.528795812,0.502617801
2,7,REVS-RF,0.539267016,0.502617801
2,8,REVS-RF,0.528795812,0.502617801
2,9,REVS-RF,0.544502618,0.502617801
2,10,REVS-RF,0.502617801,0.502617801
2,11,REVS-RF,0.528795812,0.502617801
2,12,REVS-RF,0.502617801,0.502617801
2,13,REVS-RF,0.528795812,0.502617801
2,14,REVS-RF,0.502617801,0.502617801
