n_features,method,r_squared,adjusted_r_squared
1,REVS-BART,0.219007903,0.218615839
2,REVS-BART,0.244080173,0.243320837
3,REVS-BART,0.524810097,0.524093731
4,REVS-BART,0.607890709,0.607102154
5,REVS-BART,0.730963276,0.730286624
6,REVS-BART,0.63507345,0.633971508
7,REVS-BART,0.621349491,0.620014872
8,REVS-BART,0.612799631,0.611239126
9,REVS-BART,0.600162936,0.598349159
10,REVS-BART,0.632029442,0.630173816
11,REVS-BART,0.628396661,0.626334281
12,REVS-BART,0.646790213,0.644650628
13,REVS-BART,0.647237583,0.644921466
14,REVS-BART,0.630272343,0.627656786
15,REVS-BART,0.644391386,0.641694657
16,REVS-BART,0.635189653,0.632237217
17,REVS-BART,0.655850633,0.652889834
18,REVS-BART,0.664137174,0.661076145
19,REVS-BART,0.599017933,0.59515843
20,REVS-BART,0.655395458,0.651902255
21,REVS-BART,0.642873508,0.639070437
22,REVS-BART,0.648308688,0.644383164
23,REVS-BART,0.598988175,0.594306311
24,REVS-BART,0.650687239,0.646429491
25,REVS-BART,0.641858171,0.637308605
26,REVS-BART,0.648308688,0.643659998
27,REVS-BART,0.642113123,0.637198095
28,REVS-BART,0.599729181,0.594025577
29,REVS-BART,0.657745656,0.652692002
30,REVS-BART,0.648308688,0.642933885
1,REVS-RF,0.219007903,0.218615839
2,REVS-RF,0.473380021,0.472851021
3,REVS-RF,0.525855943,0.525141153
4,REVS-RF,0.595434361,0.594620755
5,REVS-RF,0.610407202,0.609427341
6,REVS-RF,0.769189121,0.768492158
7,REVS-RF,0.613575426,0.612213406
8,REVS-RF,0.614271302,0.612716728
9,REVS-RF,0.622787331,0.621076185
10,REVS-RF,0.63451159,0.632668481
11,REVS-RF,0.616503573,0.614375188
12,REVS-RF,0.633246637,0.631025012
13,REVS-RF,0.624380667,0.62191448
14,REVS-RF,0.630374942,0.627760111
15,REVS-RF,0.624380667,0.621532189
16,REVS-RF,0.647073717,0.644217459
17,REVS-RF,0.595295617,0.591813848
18,REVS-RF,0.583338355,0.579540933
19,REVS-RF,0.640343041,0.636881297
20,REVS-RF,0.608901669,0.604937165
21,REVS-RF,0.634896126,0.631008103
22,REVS-RF,0.640990387,0.636983177
23,REVS-RF,0.635048043,0.630787182
24,REVS-RF,0.642861774,0.638508641
25,REVS-RF,0.608901669,0.603933449
26,REVS-RF,0.608901669,0.603732093
27,REVS-RF,0.640494957,0.635557706
28,REVS-RF,0.640494957,0.635372239
29,REVS-RF,0.648308688,0.64311569
30,REVS-RF,0.640494957,0.635000739
1,REVS-BART,0.219007903,0.218615839
2,REVS-BART,0.424842265,0.424264507
3,REVS-BART,0.558166001,0.55749992
4,REVS-BART,0.614370053,0.613594528
5,REVS-BART,0.604808602,0.60381466
6,REVS-BART,0.617737917,0.616583628
7,REVS-BART,0.623922043,0.622596491
8,REVS-BART,0.63986667,0.638415251
9,REVS-BART,0.632187016,0.63051851
10,REVS-BART,0.63315167,0.631301703
11,REVS-BART,0.63995816,0.637959946
12,REVS-BART,0.624380667,0.622105336
13,REVS-BART,0.646790213,0.644471159
14,REVS-BART,0.662321607,0.659932776
15,REVS-BART,0.639775143,0.637043408
16,REVS-BART,0.647763258,0.644912582
17,REVS-BART,0.636715582,0.63359016
18,REVS-BART,0.648156772,0.644950099
19,REVS-BART,0.636715582,0.633218924
20,REVS-BART,0.647693963,0.64412269
21,REVS-BART,0.658008114,0.654366213
22,REVS-BART,0.651577749,0.647688713
23,REVS-BART,0.657710872,0.653714603
24,REVS-BART,0.657710872,0.653538734
25,REVS-BART,0.640295288,0.635725868
26,REVS-BART,0.599729181,0.594438362
27,REVS-BART,0.642529969,0.637620666
28,REVS-BART,0.640494957,0.635372239
29,REVS-BART,0.650687239,0.645529362
30,REVS-BART,0.598988175,0.592859619
1,REVS-RF,0.219007903,0.218615839
2,REVS-RF,0.607806913,0.607412947
3,REVS-RF,0.551477255,0.550801091
4,REVS-RF,0.602250507,0.601450608
5,REVS-RF,0.61912173,0.618163787
6,REVS-RF,0.613882583,0.612716652
7,REVS-RF,0.631145895,0.629845805
8,REVS-RF,0.618997925,0.6174624
9,REVS-RF,0.633416192,0.631753261
10,REVS-RF,0.624380667,0.62248647
11,REVS-RF,0.624380667,0.622295999
12,REVS-RF,0.630374942,0.628135921
13,REVS-RF,0.630374942,0.627948111
14,REVS-RF,0.630374942,0.627760111
15,REVS-RF,0.638247514,0.635504193
16,REVS-RF,0.635400013,0.63244928
17,REVS-RF,0.634896126,0.63175505
18,REVS-RF,0.608901669,0.605337229
19,REVS-RF,0.635400013,0.631890692
20,REVS-RF,0.646400355,0.642815969
21,REVS-RF,0.608901669,0.604736829
22,REVS-RF,0.635048043,0.630974505
23,REVS-RF,0.635048043,0.630787182
24,REVS-RF,0.635048043,0.630599669
25,REVS-RF,0.648308688,0.643841065
26,REVS-RF,0.599729181,0.594438362
27,REVS-RF,0.635048043,0.630035986
28,REVS-RF,0.640494957,0.635372239
29,REVS-RF,0.599729181,0.593818869
30,REVS-RF,0.599729181,0.59361195
