n_features,method,r_squared,adjusted_r_squared
1,REVS-BART,0.016157951,0.015213765
2,REVS-BART,0.160120824,0.158507223
3,REVS-BART,0.178565878,0.176196356
4,REVS-BART,0.75065939,0.749699464
5,REVS-BART,0.849808849,0.849085385
6,REVS-BART,0.882304333,0.881623356
7,REVS-BART,0.883117092,0.882327343
8,REVS-BART,0.879166179,0.878232198
9,REVS-BART,0.889252111,0.888288155
10,REVS-BART,0.881769858,0.880625326
11,REVS-BART,0.854294803,0.852741744
12,REVS-BART,0.893506703,0.892267208
13,REVS-BART,0.854294803,0.852455805
14,REVS-BART,0.861112556,0.859222931
15,REVS-BART,0.861112556,0.859085988
16,REVS-BART,0.861112556,0.858948779
17,REVS-BART,0.828086435,0.825237964
18,REVS-BART,0.828086435,0.825067465
19,REVS-BART,0.854294803,0.851591289
20,REVS-BART,0.890603099,0.888464352
21,REVS-BART,0.828086435,0.824553964
22,REVS-BART,0.854294803,0.85115522
23,REVS-BART,0.828086435,0.824209952
24,REVS-BART,0.828086435,0.82403744
25,REVS-BART,0.861112556,0.857701764
26,REVS-BART,0.828086435,0.823691398
27,REVS-BART,0.817029759,0.812167361
28,REVS-BART,0.828086435,0.823343992
29,REVS-BART,0.817029759,0.811796883
30,REVS-BART,0.861112556,0.856999404
1,REVS-RF,0.016157951,0.015213765
2,REVS-RF,0.676524149,0.675902678
3,REVS-RF,0.840787379,0.840328112
4,REVS-RF,0.818151496,0.817451405
5,REVS-RF,0.854294803,0.853592948
6,REVS-RF,0.88374692,0.883074289
7,REVS-RF,0.880204109,0.879394677
8,REVS-RF,0.87998237,0.879054698
9,REVS-RF,0.854294803,0.853026576
10,REVS-RF,0.854294803,0.852884298
11,REVS-RF,0.892499013,0.89135317
12,REVS-RF,0.817029759,0.814900135
13,REVS-RF,0.854294803,0.852455805
14,REVS-RF,0.900043076,0.898683118
15,REVS-RF,0.828086435,0.825577968
16,REVS-RF,0.900804922,0.899259527
17,REVS-RF,0.899522417,0.897857584
18,REVS-RF,0.899769817,0.898009677
19,REVS-RF,0.828086435,0.824896632
20,REVS-RF,0.828086435,0.824725466
21,REVS-RF,0.894392208,0.892222185
22,REVS-RF,0.828086435,0.824382127
23,REVS-RF,0.861112556,0.85798078
24,REVS-RF,0.861112556,0.857841409
25,REVS-RF,0.817029759,0.812536384
26,REVS-RF,0.861112556,0.857561845
27,REVS-RF,0.828086435,0.823517866
28,REVS-RF,0.828086435,0.823343992
29,REVS-RF,0.828086435,0.823169775
30,REVS-RF,0.828086435,0.822995214
1,REVS-BART,0.016157951,0.015213765
2,REVS-BART,0.061673069,0.059870328
3,REVS-BART,0.212603094,0.210331757
4,REVS-BART,0.651872194,0.650531953
5,REVS-BART,0.872518613,0.871904541
6,REVS-BART,0.875757371,0.875038513
7,REVS-BART,0.876544607,0.875710449
8,REVS-BART,0.854294803,0.853168579
9,REVS-BART,0.887563545,0.886584891
10,REVS-BART,0.881559101,0.880412529
11,REVS-BART,0.886952187,0.88574722
12,REVS-BART,0.854294803,0.852598913
13,REVS-BART,0.854294803,0.852455805
14,REVS-BART,0.854294803,0.852312419
15,REVS-BART,0.88913351,0.887515808
16,REVS-BART,0.854294803,0.85202481
17,REVS-BART,0.828086435,0.825237964
18,REVS-BART,0.828086435,0.825067465
19,REVS-BART,0.8958693,0.893937188
20,REVS-BART,0.828086435,0.824725466
21,REVS-BART,0.828086435,0.824553964
22,REVS-BART,0.90064004,0.898499081
23,REVS-BART,0.898490543,0.896201604
24,REVS-BART,0.861112556,0.857841409
25,REVS-BART,0.817029759,0.812536384
26,REVS-BART,0.861112556,0.857561845
27,REVS-BART,0.817029759,0.812167361
28,REVS-BART,0.828086435,0.823343992
29,REVS-BART,0.900804922,0.897967982
30,REVS-BART,0.828086435,0.822995214
1,REVS-RF,0.016157951,0.015213765
2,REVS-RF,0.676524149,0.675902678
3,REVS-RF,0.840787379,0.840328112
4,REVS-RF,0.8431936,0.842589918
5,REVS-RF,0.873018197,0.872406531
6,REVS-RF,0.889503868,0.888864546
7,REVS-RF,0.877503304,0.876675624
8,REVS-RF,0.886446032,0.88556832
9,REVS-RF,0.854294803,0.853026576
10,REVS-RF,0.883229248,0.882098844
11,REVS-RF,0.828086435,0.826254023
12,REVS-RF,0.861112556,0.859496019
13,REVS-RF,0.898911727,0.897635856
14,REVS-RF,0.854294803,0.852312419
15,REVS-RF,0.854294803,0.852168754
16,REVS-RF,0.897870307,0.896279192
17,REVS-RF,0.828086435,0.825237964
18,REVS-RF,0.900343982,0.898593925
19,REVS-RF,0.828086435,0.824896632
20,REVS-RF,0.898851906,0.896874426
21,REVS-RF,0.861112556,0.858258705
22,REVS-RF,0.828086435,0.824382127
23,REVS-RF,0.828086435,0.824209952
